	NAME	UNICODE	SYMBOL	DOMAIN	TYPE	SUBDOMAIN	NOTE
181	hamtouch	E0D1		location	base	contact	perhaps make this separate type, contact
182	haminterlock	E0D2		location	base	contact	perhaps make this separate type, contact
183	hamcross	E0D3		location	base	contact	perhaps make this separate type, contact
184	hamarmextended	E0D4		location	diacritic	relative-space	
185	hambehind	E0D5		location	diacritic	relative-space	
186	hambrushing	E0D6		location	base	contact	perhaps make this separate type, contact
187	hamrepeatfromstart	E0D8		movement	diacritic	repetition	
188	hamrepeatfromstartseveral	E0D9		movement	diacritic	repetition	
189	hamrepeatcontinue	E0DA		movement	diacritic	repetition	
190	hamrepeatcontinueseveral	E0DB		movement	diacritic	repetition	
191	hamrepeatreverse	E0DC		movement	diacritic	repetition	
192	hamalternatingmotion	E0DD		symmetry|movement	diacritic	alternation	ambiguous: after symmetry or after movement
193	hamseqbegin	E0E0		group	start	group	just used for grouping
194	hamseqend	E0E1		group	stop	group	just used for grouping
195	hamparbegin	E0E2		group	start	dom-nondom|simultaneous	ambiguous: groups simultaneous movement symbols or marks dominant-nondominant values
196	hamparend	E0E3		group	stop	dom-nondom|simultaneous	ambiguous: groups simultaneous movement symbols or marks dominant-nondominant values
197	hamfusionbegin	E0E4		group	start	fuse	applies to movements
198	hamfusionend	E0E5		group	stop	fuse	applies to movements
199	hambetween	E0E6		handshape|any	diacritic|flag	thumb|intermediate	ambiguous: as flag means intermediate value between two handshapes; as diacritic means thumb position between fingers
200	hamplus	E0E7		group	flag	dom-nondom	
201	hamsymmpar	E0E8		symmetry	base	plane	
202	hamsymmlr	E0E9		symmetry	base	plane	
203	hamnondominant	E0EA		symmetry	flag	reverse-dominance	
204	hamnonipsi	E0EB		symmetry	flag	reverse-dominance	
205	hametc	E0EC		any	diacritic	underspecification	can be applied in any domain or subdomain
206	hamorirelative	E0ED		orientation	diacritic	relative	
207	hammime	E0F0		sentence	facial	place-holder	
